,url,title,image_url,bahan,resep
0,http://www.dapurkobe.co.id/tempe-teriyaki,Tempe Teriyaki,http://www.dapurkobe.co.id/wp-content/uploads/tempe-teriyaki.jpg,"1 papan tempe
½ buah wortel (serut kasar)
½ buah bawang bombay
2 siung bawang putih (haluskan)
½ sendok teh merica bubuk
1 butir telur
pelapis Tempe Teriyaki:
1 bungkus Kobe Tepung Kentucky SuperCrispy 75gr
140 ml air
1 bungkus Kobe Breadcrumbs (270gr)
","Kukus tempe selama 15 menit, haluskan selagi panas.
Masukkan wortel, bawang bombay dan bawang putih.
Campurkan juga merica serta telur. Aduk rata.
Bentuk adonan tempe sesuai selera, lakukan sampai habis.
Campurkan Kobe Tepung Kentucky Super Crispy dengan air, aduk hingga larut.
Ambil adonan tempe, celupkan kedalam adonan basah.
Gulirkan kedalam Kobe Breadcrumbs. Lakukan sampai adonan tempe habis.
Goreng dalam minyak panas dengan api sedang hingga kuning kecoklatan.
"
1,http://www.dapurkobe.co.id/sambal-bangkok,Sambal Bangkok,http://www.dapurkobe.co.id/wp-content/uploads/sambal-bangkok.jpg,"120 cc cuka
120 cc air
100 gram gula
1 bungkus BonCabe level 15, rasa Original
3 siung bawang putih
2 sendok makan jahe parut
30 gram lobak (parut)
30 gram wortel (parut)
2 sendok makan Kobe Tepung Bumbu Putih
2 sendok makan air
","Blender BonCabe level 15 dan bawang putih.
Masukkan juga jahe, cuka dan 120 cc air ke dalam blender.
Masukkan gula, didihkan sambil terus diaduk. Matikan api.
Masukkan wortel dan lobak parut. Aduk rata.
Larutkan Kobe Tepung Bumbu Putih dengan air.
Kemudian tuang ke dalam adonan sambal, aduk rata.
Nyalakan api sedang, aduk perlahan hingga mengental.
Biarkan dingin dan Sambal Bangkok siap disajikan.
"
2,http://www.dapurkobe.co.id/roti-goreng-isi-mozarella,Roti Goreng Isi Mozarella,http://www.dapurkobe.co.id/wp-content/uploads/roti-goreng-isi-mozzarella.jpg,"4 lembar roti tawar
1 bungkus Kobe Tepung Pisang Goreng Crispy (75gr)
1 bungkus Kobe Breadcrumbs (200gr)
100 ml air
keju mozarella (potong kotak memanjang)
minyak goreng secukupnya
","Siapkan roti tawar, pipihkan agar mudah digulung.
Masukkan keju mozarella ke dalam roti, gulung dan tekan di setiap ujung roti agar keju tidak keluar saat digoreng.
Campurkan 1 bungkus Kobe Tepung Pisang Goreng Crispy dengan air.
Masukkan roti ke dalam adonan basah, balurkan ke dalam tepung Kobe Breadcrumbs hingga rata.
Goreng dalam minyak panas hingga berwarna kuning keemasan, angkat dan tiriskan.
Siap disajikan.
"
3,http://www.dapurkobe.co.id/roll-bayam-keju-praktis,Roll Bayam Keju Praktis,http://www.dapurkobe.co.id/wp-content/uploads/roll-bayam-keju.jpg,"200 gram bayam (ambil daunnya, cuci bersih dan dirajang)
1 bungkus Kobe Bumbu Nasi Goreng Poll Ayaaam
100 gram daging ayam cincang
100 ml susu cair
3 sendok makan minyak untuk menumis
2 sendok makan mayones
50 gram keju (parut)
BonCabe level 10, rasa Original
10 lembar kulit lumpia (transparan)
","Tumis daging ayam cincang hingga berubah warna.
Masukkan susu, bayam dan Kobe Bumbu Nasi Goreng Poll Ayaaam. Aduk-aduk.
Masak hingga susu berkurang atau menyusut, aduk rata. Angkat.
Diamkan hingga agak dingin. Ambil 1 sendok makan bayam tata di atas kulit lumpia.
Tambahkan mayones, keju parut dan BonCabe level 10 ratakan.
Gulung kulit lumpia dengan segera dan siap disajikan.
"
4,http://www.dapurkobe.co.id/steam-telur,Steam Telur,http://www.dapurkobe.co.id/wp-content/uploads/steam-telur.jpg,"4 butir telur ayam
1 bungkus Saus Tiram Selera
1 bungkus Kobe Tepung Kentucky SuperCrispy (75gr)
1 siung bawang putih (cincang halus)
3 sendok makan air
1 buah cabe keriting hijau
1 buah cabe keriting merah
minyak goreng secukupnya
","Tumis bawang putih sampai berwarna kekuningan, sisihkan.
Kocok telur dengan Saus Tiram Selera sampai berbusa.
Tambahkan tumisan bawang putih dan larutan 3 sendok makan Kobe Tepung Kentucky Super Crispy dengan 3 sendok makan air.
Masukkan adonan ke dalam cup, tata potongan cabe merah dan hijau.
Kukus sampai matang (dalam mengukus tutup sering dibuka, supaya hasil tidak bergelombang), angkat.
Steam Telur siap disajikan selagi hangat.
"
5,http://www.dapurkobe.co.id/omelette-mie-ayam-sosis,Omelette Mie Ayam Sosis,http://www.dapurkobe.co.id/wp-content/uploads/omelette-mie-ayam-sosis.jpg,"1 sendok makan mentega (lelehkan)
1 bungkus Kobe Tepung Bakwan Kress (75gr)
50 ml air
1 bungkus mie instan (rebus hingga matang, tidak terlalu lembek)
4 butir telur (kocok lepas)
150 gr dada ayam (rebus, potong kotak kecil)
2 buah sosis ayam (potong kotak kecil)
5 siung bawang merah (iris tipis)
1 batang daun bawang (potong tipis)
minyak goreng secukupnya
BonCabe level 10, rasa Original (7,5gr)
","Kocok telur dan masukkan mie instan yg sudah direbus. Tambahkan bumbu beserta minyaknya.
Masukkan potongan ayam dan sosis. Tambahkan bawang merah dan daun bawang, aduk rata.
Tambahkan larutan 3 sendok makan Kobe Tepung Bakwan Kress dengan 50 ml air.
Tuang lelehan mentega, aduk rata.
Panaskan cetakan. Beri 1 sendok teh minyak goreng di setiap lubangnya, isi ¾ bagian cetakan dengan adonan.
Goreng hingga berwarna kuning kecoklatan.
Siap disajikan dengan sambal tabur BonCabe level 10.
"
6,http://www.dapurkobe.co.id/rujak-tahu,Rujak Tahu,http://www.dapurkobe.co.id/wp-content/uploads/rujak-tahu.jpg,"1 bungkus BonCabe level 15, rasa Original
1 buah tahu putih (potong menjadi 2 bagian lalu goreng sampai matang)
100 gram kacang tanah (goreng hingga matang)
50 gram tauge (buang ekor dan siram dengan air panas, tiriskan)
1 buah timun (kupas, belah 4 bagian dan iris)
1 batang daun seledri (iris)
bawang merah goreng
bawang merah (haluskan)
bawang putih (haluskan)
gula merah
asam jawa
kecap manis
200 ml air
","Haluskan bawang merah dan bawang putih. Campurkan juga BonCabe level 15, gula merah dan asam jawa.
Rebus air, masukkan bumbu halus, aduk sampai larut.
Setelah mau mendidih masukkan kecap, garam sesuai selera.
Masak hingga mendidih, dinginkan.
Tata di dalam mangkuk tahu, tauge, timun dan seledri. Kemudian siram dengan kuah dingin.
Siap disajikan dengan taburan bawang goreng.
"
7,http://www.dapurkobe.co.id/sambal-nanas,Sambal Nanas,http://www.dapurkobe.co.id/wp-content/uploads/sambal-nanas.jpg,"1 bungkus BonCabe level 15, rasa Original
2 sendok makan minyak goreng
5 siung bawang merah
3 siung bawang putih
1 sendok teh terasi
½ sendok teh garam
1 sendok makan gula
1 buah nanas madu (kupas dan potong-potong)
","Panaskan minyak.
Tumis bawang putih, bawang merah dan terasi hingga harum.
Haluskan / ulek bahan yang telah ditumis.
Tambahkan gula, garam dan BonCabe level 15.
Campurkan sambal dengan potongan nanas hingga nanas terlapisi sambal secara merata.
Sajikan sebagai pelengkap lauk dan nasi hangat.
"
8,http://www.dapurkobe.co.id/balado-ikan-kapas,Balado Ikan Kapas,http://www.dapurkobe.co.id/wp-content/uploads/balado-ikan-kapas.jpg,"200 gram ikan asin kapas
5 lonjor kacang panjang (potong 2 cm)
1 bungkus Kobe Bumbu Nasi Goreng Poll Pedas
1 ruas jari lengkuas
2 helai daun jeruk
2 sendok makan air asem jawa
50 ml air matang
1 1/2 sendok makan gula merah (disisir halus)
minyak goreng secukupnya
","Goreng ikan asin kapas hingga garing dan kering, sisihkan.
Tumis lengkuas dan daun jeruk sampai harum. Masukkan kacang panjang.
Masukkan air asam jawa, air matang dan gula merah.
Tambahkan Kobe Bumbu Nasi Goreng Poll Pedas, aduk hingga mendidih dan mengaramel.
Masukkan ikan asin, aduk rata dan sajikan.
"
9,http://www.dapurkobe.co.id/ayam-poprock-saus-tiram,Ayam Poprock Saus Tiram,http://www.dapurkobe.co.id/wp-content/uploads/ayam-poprock-saus-tiram.jpg,"1/4 kilogram fillet (potong 1 1/2 cm, cuci bersih dan beri perasan jeruk nipis.
2 sachet Saus Tiram Selera
2 bungkus Kobe Tepung Kentucky SuperCrispy (75gr)
100 ml air
minyak goreng secukupnya
","Lumuri ayam dengan Saus Tiram Selera (biarkan kurleb 15 menit).
Gulirkan ayam yg sudah direndam bumbu kedalam tepung kering Kobe Tepung Kentucky Super Crispy. Ratakan.
Goreng dalam minyak panas hingga kuning kecoklatan. Angkat dan sisihkan.
"
10,http://www.dapurkobe.co.id/tempe-katsu-saus-bbq,Tempe Katsu Saus BBQ,http://www.dapurkobe.co.id/wp-content/uploads/tempe-katsu-saus-bbq.jpg,"1 papan tempe
½ buah wortel (serut kasar)
½ buah bawang bombay
2 siung bawang putih (haluskan)
½ sendok teh merica bubuk
1 butir telur
1 bungkus Kobe Tepung Kentucky SuperCrispy (75gr)
140 ml air
1 bungkus Kobe Breadcrumbs (270gr)
","Kukus tempe selama 15 menit. Haluskan selagi panas.
Masukkan wortel, bawang bombay dan bawang putih serta merica. Telur aduk rata.
Bentuk adonan tempe sesuai selera. Lakukan sampai habis.
Campurkan Kobe Tepung Kentucky Super Crispy dengan air. Aduk hingga larut.
Ambil adonan tempe. Celupkan ke dalam adonan basah.
Gulirkan ke dalam Kobe Breadcrumbs, lakukan sampai adonan tempe habis.
Goreng dalam minyak panas dengan api sedang hingga kuning kecokelatan.
"
